id,name,symbol,market_cap_rank,current_price
ousg,OUSG,ousg,130,111.29
bitcoin-cash-sv,Bitcoin SV,bsv,131,33.72
walrus-2,Walrus,wal,132,0.497011
pudgy-penguins,Pudgy Penguins,pengu,133,0.01033308
kaia,Kaia,kaia,134,0.110873
usual-usd,Usual USD,usd0,135,0.997457
solv-protocol-solvbtc-bbn,Solv Protocol Staked BTC,xsolvbtc,136,104861.0
jito-governance-token,Jito,jto,137,1.86
polyhedra-network,Polyhedra Network,zkj,138,2.01
tezos,Tezos,xtz,139,0.579258
thorchain,THORChain,rune,140,1.67
flow,Flow,flow,141,0.370192
ondo-us-dollar-yield,Ondo US Dollar Yield,usdy,142,1.092
super-oeth,Super OETH,superoeth,143,2637.55
apecoin,ApeCoin,ape,144,0.725419
l2-standard-bridged-weth-base,L2 Standard Bridged WETH (Base),weth,145,2638.49
syrupusdc,SyrupUSDC,syrupusdc,146,1.1
helium,Helium,hnt,147,3.12
falcon-finance,Falcon USD,usdf,148,0.999593
dexe,DeXe,dexe,149,9.9
grass,Grass,grass,150,1.95
cgeth-hashkey-cloud,cgETH Hashkey Cloud,cgeth.hashkey,151,2786.48
ket,Ket,ket,152,0.544051
mantle-restaked-eth,Mantle Restaked ETH,cmeth,153,2811.13
decentraland,Decentraland,mana,154,0.279965
chain-2,Onyxcoin,xcn,155,0.01536198
liquid-staked-ethereum,Liquid Staked ETH,lseth,156,2847.28
saros-finance,Saros,saros,157,0.197115
bitcoin-avalanche-bridged-btc-b,Avalanche Bridged BTC (Avalanche),btc.b,158,105152.0
based-brett,Brett,brett,159,0.051208
wrapped-hype,Wrapped HYPE,whype,160,36.85
arbitrum-bridged-weth-arbitrum-one,Arbitrum Bridged WETH (Arbitrum One),weth,161,2638.54
tbtc,tBTC,tbtc,162,105071.0
true-usd,TrueUSD,tusd,163,0.998199
binance-peg-dogecoin,Binance-Peg Dogecoin,doge,164,0.190971
dog-go-to-the-moon-rune,Dog (Bitcoin),dog,165,0.00484636
eigenlayer,Eigenlayer,eigen,166,1.55
kava,Kava,kava,167,0.433713
starknet,Starknet,strk,168,0.137666
beldex,Beldex,bdx,169,0.063408
syrup,Maple Finance,syrup,170,0.422092
bridged-usdc-polygon-pos-bridge,Bridged USDC (Polygon PoS Bridge),usdc.e,171,0.999689
aethir,Aethir,ath,172,0.04961497
aerodrome-finance,Aerodrome Finance,aero,173,0.54297
elrond-erd-2,MultiversX,egld,174,15.75
dydx-chain,dYdX,dydx,175,0.560583
ecash,eCash,xec,176,2.183e-05
zebec-network,Zebec Network,zbcn,179,0.00532638
arweave,Arweave,ar,177,6.58
neo,NEO,neo,178,6.09
apenft,APENFT,nft,180,4.29078e-07
aioz-network,AIOZ Network,aioz,181,0.356429
livepeer,Livepeer,lpt,182,10.14
pumpbtc,pumpBTC,pumpbtc,183,101584.0
kaito,KAITO,kaito,184,1.72
compound-governance-token,Compound,comp,185,45.59
telcoin,Telcoin,tel,186,0.00449764
hashnote-usyc,Circle USYC,usyc,188,1.088
keeta,Keeta,kta,187,1.014
mimblewimblecoin,MimbleWimbleCoin,mwc,189,37.14
reserve-rights-token,Reserve Rights,rsr,190,0.00705309
usdb,USDB,usdb,191,0.998517
usdd,USDD,usdd,192,0.99944
staked-hype,Staked HYPE,sthype,193,36.84
axie-infinity,Axie Infinity,axs,194,2.5
morpho,Morpho,morpho,195,1.41
build-on,BUILDon,b,196,0.395016
mantle-bridged-usdt-mantle,Mantle Bridged USDT (Mantle),usdt,197,0.999441
conflux-token,Conflux,cfx,198,0.077467
stader-ethx,Stader ETHx,ethx,199,2795.98
ronin,Ronin,ron,200,0.589546
ether-fi-staked-eth,ether.fi Staked ETH,eeth,201,2634.76
ether-fi,Ether.fi,ethfi,202,1.17
chiliz,Chiliz,chz,203,0.03940019
movement,Movement,move,204,0.145641
deep,DeepBook,deep,205,0.147919
wormhole,Wormhole,w,206,0.0803
sun-token,Sun Token,sun,207,0.01913439
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,cbeth,208,2902.17
akash-network,Akash Network,akt,209,1.33
mog-coin,Mog Coin,mog,210,9.22579e-07
popcat,Popcat,popcat,211,0.360068
sweth,Swell Ethereum,sweth,212,2879.16
gnosis,Gnosis,gno,213,131.0
amp-token,Amp,amp,214,0.00406809
trust-wallet-token,Trust Wallet,twt,215,0.820626
ether-fi-staked-btc,Ether.fi Staked BTC,ebtc,216,103836.0
beam-2,Beam,beam,217,0.0065176
polygon-bridged-wbtc-polygon-pos,Polygon Bridged WBTC (Polygon POS),wbtc,218,105105.0
ripple-usd,Ripple USD,rlusd,219,0.999912
polygon-pos-bridged-weth-polygon-pos,Polygon PoS Bridged WETH (Polygon POS),weth,220,2634.61
just,JUST,jst,221,0.03320392
matic-network,Polygon,matic,222,0.217461
terra-luna,Terra Luna Classic,lunc,223,5.967e-05
olympus,Olympus,ohm,224,19.87
plume,Plume,plume,225,0.132651
frax-ether,Frax Ether,frxeth,226,2627.52
frax,Legacy Frax Dollar,frax,227,0.999763
wrapped-avax,Wrapped AVAX,wavax,228,20.82
binance-peg-busd,Binance-Peg BUSD,busd,229,0.999158
bybit-staked-sol,Bybit Staked SOL,bbsol,230,169.52
mantra-dao,MANTRA,om,231,0.31877
axelar,Axelar,axl,232,0.323333
safe,Safe,safe,233,0.510564
creditcoin-2,Creditcoin,ctc,234,0.658901
global-dollar,Global Dollar,usdg,235,0.999855
superfarm,SuperVerse,super,236,0.660364
1inch,1inch,1inch,237,0.214317
berachain-bera,Berachain,bera,238,2.48
cheems-token,Cheems Token,cheems,239,1.45e-06
cat-in-a-dogs-world,cat in a dogs world,mew,240,0.00325396
mask-network,Mask Network,mask,241,2.87
turbo,Turbo,turbo,242,0.00414907
aave-usdc-sonic,Aave USDC (Sonic),asonusdc,243,0.999838
btse-token,BTSE Token,btse,244,1.71
quorium,Quorium,qgold,245,3380.4
kusama,Kusama,ksm,246,16.39
frax-share,Frax (prev. FXS),frax,247,2.99
dash,Dash,dash,248,21.98
abtc,aBTC,abtc,249,104951.0
compound-wrapped-btc,cWBTC,cwbtc,250,2110.08
treehouse-eth,Treehouse ETH,teth,251,3190.84
mina-protocol,Mina Protocol,mina,252,0.213584
peanut-the-squirrel,Peanut the Squirrel,pnut,253,0.262287
benqi-liquid-staked-avax,BENQI Liquid Staked AVAX,savax,254,25.33
